Compound log K ow,WS (mg/L),MinPartialCharge,MaxPartialCharge,min projection (Å),S,rs/rp,∆Gs-m (J·m-2),MB contact angle (°),MB volume charge density δm (mol·m-3),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,SHAP_Compound log K ow,SHAP_WS (mg/L),SHAP_MinPartialCharge,SHAP_MaxPartialCharge,SHAP_min projection (Å),SHAP_S,SHAP_rs/rp,SHAP_∆Gs-m (J·m-2),SHAP_MB contact angle (°),SHAP_MB volume charge density δm (mol·m-3),SHAP_Pressure (kPa),SHAP_Measurement time (min),SHAP_Initial concentration of compound (mg/L),SHAP_pH
5.113,1.0,-0.254939806222316,0.348316233238499,3.76,0.147,1.2036289620123162,0.2049618041642735,25.3,-44.96817172711646,600.0,10.0,0.001,6.5,-2.5782638,-0.5637364,0.046028618,0.02656746,-0.0048481748,0.0018440405,-6.1831565,-0.9801808,-6.884195,-2.3134675,-1.0137554,0.17392975,-2.4846134,0.42978704
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3144474853219257,0.0869272403959153,25.3,-44.96817172711646,600.0,10.0,0.001,6.5,-3.43032,-0.0016401861,-0.44001457,-0.023267018,0.14876573,0.0018345019,-28.130728,-2.4118803,-8.272053,-2.2316086,-0.917131,0.1250723,-2.2128549,0.22105987
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,123.04,10.0,4.0,-0.7027787,0.0008228213,-0.017711457,-0.0121668,0.118016355,0.0018345019,4.8805656,-0.44400018,0.24479592,0.34081382,-0.12981732,-0.05327759,0.08007959,0.4882037
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,421.86,10.0,4.0,-0.6906919,0.0008228213,-0.017711457,-0.0121668,0.119306386,0.0018345019,4.424425,-0.16859347,0.34890917,0.35662818,0.043089252,0.43944407,0.043932065,0.5562065
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,1475.07,10.0,4.0,-0.4702143,-0.0007523824,-0.017186625,-0.0121668,0.12354373,0.0018345019,4.4265156,-0.14816254,0.33274558,0.37467563,0.058686458,0.05147355,0.049733143,0.62470615
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,5622.93,10.0,4.0,-0.4702143,0.00050996087,-0.017186625,-0.0121668,0.12430602,0.0018345019,4.3777184,-0.15161256,0.33518246,0.37523758,0.059574217,0.1253181,0.049733143,0.62487894
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,250.0,90.0,100.0,7.1,0.32615912,-0.021265507,0.057284676,0.016656814,-0.031527385,0.0018440405,-2.3848922,-0.2513549,-0.6162213,0.5084937,0.70189875,0.4887299,0.11911735,1.9468052
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,500.0,90.0,100.0,7.1,0.24755676,-0.021265507,-0.013025395,0.016656814,-0.042105187,0.0018440405,-2.9859068,-0.3018801,-0.72508657,0.46552625,-0.3053996,0.4326044,-0.027949724,1.8784523
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,1000.0,90.0,100.0,7.1,0.22772932,0.01962025,0.007968743,0.009777617,-0.040947683,0.0018440405,-2.817863,-0.08301548,-0.9624971,0.46515018,0.3794376,0.4777663,-0.05368001,1.629649
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,2000.0,90.0,100.0,7.1,0.43336484,0.019789195,0.024244936,0.009777617,-0.04049967,0.0018440405,-2.1408134,-0.11158743,-0.60921246,0.46200585,0.6406584,0.3823286,0.021122813,1.631491
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,250.0,90.0,100.0,7.1,-0.028848924,-0.0064691333,0.016227601,0.005552668,-0.012515987,0.0060194726,2.8868897,0.2657098,0.6322395,0.21909757,0.03114193,0.18603829,0.03785372,1.0465801
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,500.0,90.0,100.0,7.1,-0.035393402,-0.0064691333,0.00847662,0.005552668,-0.0137007665,0.0060194726,3.1496816,0.27088684,0.63929063,0.22184993,-0.0031409059,0.18267208,0.020851968,1.0087324
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,1000.0,90.0,100.0,7.1,-0.04809906,-0.0022915527,0.005171364,0.004700725,-0.011875116,0.0060194726,3.076046,0.29754937,0.6469529,0.2534389,0.43138918,0.15942848,0.007691684,0.9319752
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,2000.0,90.0,100.0,7.1,-0.009625701,-0.002122609,0.007207869,0.004700725,-0.010690706,0.0060194726,3.505995,0.39661935,0.48388606,0.30851275,-0.057761904,0.06828699,0.009163985,0.95851386
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,250.0,90.0,100.0,7.1,-0.01452811,-0.006663958,0.020264983,0.005552668,-0.012268728,0.0060194726,2.9012191,0.27230293,0.52932274,0.21663214,0.062143367,0.18609829,0.03649305,1.1567367
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,500.0,90.0,100.0,7.1,-0.021072604,-0.006663958,0.0125140045,0.005552668,-0.013453507,0.0060194726,3.1457381,0.27747995,0.5364194,0.21938448,0.009587599,0.18273209,0.0194913,1.1181324
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,1000.0,90.0,100.0,7.1,-0.03532244,-0.0024049361,0.009122099,0.004700725,-0.011902857,0.0060194726,3.0558856,0.3055085,0.55249554,0.2505428,0.4368136,0.15688378,0.0074973684,1.0377116
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,2000.0,90.0,100.0,7.1,0.003150919,-0.0022359923,0.008518514,0.004700725,-0.010718447,0.0060194726,3.4580836,0.3867802,0.37893647,0.3018954,-0.09899397,0.0641872,0.008969669,1.0682279
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,250.0,90.0,100.0,7.1,-0.25604236,-0.0039952407,0.019958038,0.005552668,-0.0120112235,0.0060194726,3.264378,0.19778107,-0.06552612,-0.06591729,-0.07468585,0.19662857,0.13043272,1.0450699
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,500.0,90.0,100.0,7.1,-0.26171345,-0.0039952407,0.012207059,0.005552668,-0.011034466,0.0060194726,3.5363374,0.20958315,-0.05437988,-0.05282053,-0.09164362,0.20175974,0.11343097,1.006788
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,1000.0,90.0,100.0,7.1,-0.27398434,0.00026378146,0.0088151535,0.004700725,-0.009931921,0.0060194726,3.419473,0.27871946,-0.022156933,-0.035211522,0.43660048,0.18531825,0.10140506,0.9160617
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,2000.0,90.0,100.0,7.1,-0.029452316,0.00043272477,0.008488988,0.004700725,-0.0087475125,0.0060194726,3.84061,0.43015507,0.13431588,-0.029370058,0.2543264,0.09110805,0.11752835,0.9302503
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.22200707772850026,61.4,-52.875307756804084,250.0,90.0,100.0,7.1,0.022371862,-0.011306411,0.018847344,0.005552668,-0.011850905,0.0060194726,3.0627398,0.2282403,0.5019201,-0.34929287,0.118949644,0.1813076,0.04838086,1.3364999
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.22200707772850026,61.4,-52.875307756804084,500.0,90.0,100.0,7.1,0.017545152,-0.011306411,0.011096365,0.005552668,-0.012081849,0.0060194726,3.2872622,0.2324719,0.50901675,-0.3710535,0.060509488,0.17522252,0.026410654,1.3140501
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.22200707772850026,61.4,-52.875307756804084,1000.0,90.0,100.0,7.1,0.0028472096,-0.00704739,0.0077044596,0.004700725,-0.010979304,0.0060194726,3.202059,0.23510794,0.5233924,-0.4279319,0.41746303,0.14425978,0.009072236,1.276769
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.22200707772850026,61.4,-52.875307756804084,2000.0,90.0,100.0,7.1,0.041320577,-0.0068784463,0.0073782937,0.004700725,-0.009794895,0.0060194726,3.575338,0.2789222,0.3477395,-0.52801573,-0.2572778,0.04966735,0.010544535,1.3178234
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,250.0,90.0,100.0,3.5,0.056982085,-0.036194045,-0.02639964,0.008285644,-0.029991081,0.0009910705,-4.0250936,-0.4081927,-1.1282146,0.23705342,0.24571124,0.5359589,0.023135887,-3.5944695
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,500.0,90.0,100.0,3.5,0.009180256,-0.036194045,-0.07990149,0.008285644,-0.031860244,0.0009910705,-4.5892878,-0.4565886,-1.1937237,0.23259382,-0.53147954,0.48003304,-0.11787526,-3.4327154
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,1000.0,90.0,100.0,3.5,-0.0014887813,0.00649782,-0.03787357,0.006854808,-0.031091891,0.0009910705,-4.2738714,-0.13757561,-1.2778246,0.24752994,0.8509722,0.5934043,-0.1167896,-2.983905
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,2000.0,90.0,100.0,3.5,0.21765551,0.0066667628,-0.018135104,0.006854808,-0.030643882,0.0009910705,-3.5925221,-0.13894494,-0.9131991,0.25151443,1.1303196,0.4997597,-0.015971705,-2.963936
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,250.0,90.0,100.0,3.5,-0.057213765,-0.0069255647,0.0051800455,0.0035547153,-0.01228273,0.0019431234,3.675579,0.28847772,0.76837933,0.28358102,-0.16657034,0.12807986,0.007276695,-1.2772535
